,acousticness,danceability,duration_ms,energy,genre,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
"('Myron', 'Lil Uzi Vert')",0.0537,0.77,224955,0.655,Rap,0,8,0.215,-6.976,0,0.296,155.039,4,0.584
"('P2', 'Lil Uzi Vert')",0.0236,0.775,234627,0.72,Rap,0,11,0.114,-5.353,0,0.193,155.086,4,0.49
"('XO Tour Llif3', 'Lil Uzi Vert')",0.00264,0.732,182707,0.75,Rap,0,11,0.109,-6.366,0,0.231,155.096,4,0.401
"('That Way - Bonus Track', 'Lil Uzi Vert')",0.0554,0.712,212354,0.599,Rap,0,7,0.154,-5.368,0,0.0388,130.007,4,0.503
"('Lo Mein', 'Lil Uzi Vert')",0.0888,0.855,195299,0.676,Rap,0,1,0.144,-5.736,1,0.325,133.081,4,0.509
"('Sanguine Paradise', 'Lil Uzi Vert')",0.0948,0.729,243976,0.603,Rap,0,6,0.113,-6.736,0,0.0666,134.972,4,0.207
"('20 Min', 'Lil Uzi Vert')",0.109,0.773,220587,0.75,Rap,0,8,0.174,-4.009,0,0.117,123.426,4,0.783
"('Baby Pluto', 'Lil Uzi Vert')",0.135,0.772,210261,0.634,Rap,0,10,0.432,-6.101,0,0.212,160.052,4,0.671
"('Yessirskiii', 'Lil Uzi Vert')",0.0188,0.898,219340,0.752,Rap,1.35e-05,8,0.0994,-6.792,1,0.278,140.041,4,0.782
"('Futsal Shuffle 2020 - Bonus Track', 'Lil Uzi Vert')",0.0341,0.879,198913,0.448,Rap,0,7,0.224,-8.57,0,0.221,136.988,4,0.279
"('Pure Water (with Migos)', 'Migos')",0.174,0.682,192471,0.559,Rap,0,0,0.344,-5.545,1,0.127,202.015,4,0.137
"('Racks 2 Skinny', 'Migos')",0.00839,0.814,178025,0.584,Rap,0,1,0.0646,-5.425,1,0.0819,141.016,4,0.405
"('Walk It Talk It', 'Migos')",0.0876,0.907,276147,0.633,Rap,2.6e-06,2,0.106,-5.145,1,0.184,145.914,4,0.395
"('Bad and Boujee (feat. Lil Uzi Vert)', 'Migos')",0.061,0.927,343150,0.665,Rap,0,11,0.123,-5.313,1,0.244,127.076,4,0.175
"('Need It', 'Migos')",0.0313,0.852,195681,0.745,Rap,0,11,0.0824,-3.667,0,0.171,148.007,4,0.897
"('Taco Tuesday', 'Migos')",0.000515,0.945,96563,0.65,Rap,0,1,0.135,-7.071,1,0.154,129.007,4,0.804
"('MotorSport', 'Migos')",0.0305,0.904,303077,0.518,Rap,0,2,0.325,-5.32,1,0.183,137.996,4,0.188
"('Give No Fxk', 'Migos')",0.0303,0.904,224243,0.627,Rap,5.68e-06,1,0.0923,-5.608,1,0.222,145.976,4,0.236
"('Slippery (feat. Gucci Mane)', 'Migos')",0.307,0.92,304041,0.674,Rap,0,1,0.104,-5.662,0,0.264,141.967,4,0.741
"('Stir Fry', 'Migos')",0.00263,0.817,190288,0.816,Rap,0,2,0.159,-5.402,1,0.269,181.982,4,0.508
"('Toosie Slide', 'Drake')",0.289,0.83,247059,0.49,Rap,3.04e-06,1,0.113,-8.82,0,0.209,81.604,4,0.845
"('Life Is Good (feat. Drake)', 'Drake')",0.0706,0.676,237735,0.609,Rap,0.0,2,0.152,-5.831,0,0.481,142.037,4,0.508
"('Chicago Freestyle (feat. Giveon)', 'Drake')",0.629,0.735,220488,0.449,Rap,0.0,10,0.113,-7.507,1,0.347,122.947,4,0.0397
"('Pain 1993 (with Playboi Carti)', 'Drake')",0.163,0.825,149078,0.373,Rap,0.0,5,0.368,-5.532,0,0.108,77.271,4,0.12
"('Money In The Grave (Drake ft. Rick Ross)', 'Drake')",0.101,0.831,205427,0.502,Rap,0.0,10,0.122,-4.045,0,0.046,100.541,4,0.101
"(""God's Plan"", 'Drake')",0.0332,0.754,198973,0.449,Rap,8.29e-05,7,0.552,-9.211,1,0.109,77.169,4,0.357
"('Nonstop', 'Drake')",0.0164,0.912,238614,0.412,Rap,0.013,7,0.104,-8.074,1,0.124,154.983,4,0.422
"('In My Feelings', 'Drake')",0.0589,0.835,217925,0.626,Rap,6e-05,1,0.396,-5.833,1,0.125,91.03,4,0.35
"('One Dance', 'Drake')",0.00776,0.792,173987,0.625,Rap,0.00188,1,0.329,-5.609,1,0.0536,103.967,4,0.37
"('D4L', 'Drake')",0.0128,0.718,189176,0.706,Rap,0.0,1,0.352,-5.709,1,0.06,170.004,4,0.815
"('Savage Remix (feat. Beyoncé)', 'Megan Thee Stallion')",0.016,0.822,242001,0.743,Rap,0,10,0.127,-4.772,0,0.28,84.459,4,0.636
"('Savage', 'Megan Thee Stallion')",0.0252,0.843,155497,0.741,Rap,0,11,0.096,-5.609,1,0.334,168.983,4,0.68
"('Captain Hook', 'Megan Thee Stallion')",0.0118,0.863,176750,0.633,Rap,0,10,0.285,-5.002,0,0.287,163.991,4,0.545
"('Cash Shit (feat. DaBaby)', 'Megan Thee Stallion')",0.0218,0.921,192540,0.635,Rap,0,1,0.0946,-4.904,1,0.416,130.028,4,0.549
"('Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign)', 'Megan Thee Stallion')",0.00485,0.872,199427,0.814,Rap,1.96e-06,0,0.214,-4.568,1,0.155,98.985,4,0.57
"('FREAK', 'Megan Thee Stallion')",0.00438,0.933,174067,0.556,Rap,0,9,0.114,-6.115,1,0.216,106.01,4,0.504
"('B.I.T.C.H.', 'Megan Thee Stallion')",0.0851,0.742,183143,0.731,Rap,0,11,0.131,-4.362,0,0.306,174.019,4,0.547
"('All Dat (with Megan Thee Stallion)', 'Megan Thee Stallion')",0.00534,0.792,143958,0.772,Rap,0,2,0.237,-3.904,1,0.27,120.047,5,0.414
"('Big Ole Freak', 'Megan Thee Stallion')",0.00867,0.799,214851,0.699,Rap,0,2,0.132,-7.694,1,0.204,142.979,4,0.627
"('Hit My Phone (feat. Kehlani)', 'Megan Thee Stallion')",0.276,0.831,150767,0.627,Rap,0,11,0.199,-6.614,0,0.176,108.042,4,0.76
"('The Box', 'Roddy Ricch')",0.104,0.896,196653,0.586,Rap,0,10,0.79,-6.687,0,0.0559,116.971,4,0.642
"('Walk Em Down (feat. Roddy Ricch)', 'Roddy Ricch')",0.268,0.867,173288,0.744,Rap,0,9,0.0713,-5.171,0,0.228,84.005,4,0.645
"('High Fashion (feat. Mustard)', 'Roddy Ricch')",0.269,0.831,220487,0.499,Rap,0,11,0.3,-8.442,0,0.114,97.956,4,0.511
"(""Ballin' (with Roddy Ricch)"", 'Roddy Ricch')",0.392,0.809,180435,0.545,Rap,0,7,0.151,-6.678,1,0.0735,97.008,4,0.244
"('Down Below', 'Roddy Ricch')",0.036,0.926,224002,0.454,Rap,0.000422,6,0.0896,-9.932,1,0.0732,119.969,4,0.34
"('Start Wit Me (feat. Gunna)', 'Roddy Ricch')",0.077,0.886,158692,0.479,Rap,0,4,0.135,-8.054,0,0.334,130.029,4,0.408
"('Project Dreams', 'Roddy Ricch')",0.409,0.78,167898,0.828,Rap,0,8,0.104,-2.235,1,0.237,160.113,4,0.786
"('Bacc Seat (feat. Ty Dolla $ign)', 'Roddy Ricch')",0.0404,0.783,172320,0.524,Rap,0,1,0.087,-6.828,1,0.115,144.989,4,0.153
"('Tip Toe (feat. A Boogie Wit da Hoodie)', 'Roddy Ricch')",0.095,0.757,185806,0.673,Rap,0,1,0.338,-8.513,1,0.141,92.958,3,0.574
"('Peta (feat. Meek Mill)', 'Roddy Ricch')",0.015,0.778,198849,0.573,Rap,0,10,0.464,-7.339,0,0.251,140.114,4,0.269
"('Juicy - 2005 Remaster', 'The Notorious B.I.G.')",0.472,0.889,302693,0.816,Rap,0,9,0.204,-4.67,1,0.247,96.056,4,0.777
"('Hypnotize - 2014 Remaster', 'The Notorious B.I.G.')",0.145,0.901,229827,0.697,Rap,0,9,0.287,-3.439,1,0.28,93.941,4,0.67
"('Big Poppa - 2005 Remaster', 'The Notorious B.I.G.')",0.432,0.778,252747,0.578,Rap,0,9,0.138,-7.22,0,0.274,84.487,4,0.758
"('Mo Money Mo Problems (feat. Puff Daddy & Mase) - 2014 Remaster', 'The Notorious B.I.G.')",0.0128,0.845,257400,0.884,Rap,2.1e-06,6,0.203,-4.506,0,0.0759,104.536,4,0.904
"('Old Thing Back (feat. Ja Rule and Ralph Tresvant)', 'The Notorious B.I.G.')",0.194,0.805,321649,0.858,Rap,7.89e-06,0,0.256,-3.067,1,0.105,97.033,4,0.523
"('Who Shot Ya? - 2005 Remaster', 'The Notorious B.I.G.')",0.273,0.828,319373,0.686,Rap,0,11,0.524,-5.689,0,0.218,91.713,4,0.617
"('Get Money (feat. Junior M.A.F.I.A.) - 2007 Remaster', 'The Notorious B.I.G.')",0.398,0.711,274440,0.871,Rap,1.69e-06,2,0.171,-4.32,1,0.294,91.153,4,0.912
"('Notorious Thugs - 2014 Remaster', 'The Notorious B.I.G.')",0.121,0.704,366880,0.873,Rap,5.12e-06,11,0.24,-4.057,0,0.144,154.914,4,0.742
